City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
546,Sur,OM,82.53,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
547,Mackay,AU,80.69,few clouds,-21.15,149.2,International Lodge Motel
549,Hobyo,SO,78.28,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
551,Keti Bandar,PK,81.88,clear sky,24.1447,67.4497,Haji laloo memon house
552,Caraballeda,VE,86.07,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
557,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
559,Ormara,PK,81.75,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
563,Guantanamo,CU,81.97,scattered clouds,20.1444,-75.2092,Hotel Guantánamo
566,Provost,CA,75.65,clear sky,52.3501,-110.2683,Canalta Hotel Provost
568,Thinadhoo,MV,82.6,scattered clouds,0.5333,72.9333,
574,Itarema,BR,79.18,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
577,Phangnga,TH,85.91,broken clouds,8.4509,98.5298,Sunimit Mansion
578,Brownsville,US,86.11,few clouds,25.9018,-97.4975,University Inn & Suites
580,Bosaso,SO,87.75,few clouds,11.2842,49.1816,Red Sea Hotel
584,Sigli,ID,77.45,broken clouds,5.3848,95.9609,Losmen Dua Mali
589,Baiao,BR,79.56,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
594,Matara,LK,77.14,light rain,5.9485,80.5353,Amaloh Boutique Resort
595,Natal,BR,79.45,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
597,Piacabucu,BR,76.59,clear sky,-10.4056,-36.4344,Piaçabuçu News
603,Tevaitoa,PF,78.58,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
607,Ponnani,IN,79.92,overcast clouds,10.767,75.9252,Rouba Residency
608,Rayadrug,IN,78.93,few clouds,14.7,76.8667,Mali arts
610,Yeppoon,AU,76.78,clear sky,-23.1333,150.7333,Villa Mar Colina
612,Mumford,GH,78.17,broken clouds,5.2618,-0.759,Spanish Villa
613,Coahuayana,MX,87.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
614,Sohag,EG,77.29,clear sky,26.557,31.6948,Civil Registry - Sohag 1
615,Dores Do Indaia,BR,82.56,scattered clouds,-19.4633,-45.6017,Hotel Central Dorense
616,Kupang,ID,76.44,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
617,Irece,BR,80.71,clear sky,-11.3042,-41.8558,RADAR INN HOTEL
618,Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
619,Takoradi,GH,77.52,overcast clouds,4.8845,-1.7554,Raybow International Hotel
620,Hambantota,LK,78.84,overcast clouds,6.1241,81.1185,Bungalow 63
628,Chino Valley,US,81.5,clear sky,34.7575,-112.4538,Primrose Inn & Suites
629,Devils Lake,US,75.18,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
631,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
634,Balabac,PH,79.9,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
640,Riyadh,SA,80.74,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
645,Nambucca Heads,AU,77.16,broken clouds,-30.65,153.0,Marcel Towers Holiday Apartments
649,Iralaya,HN,86.09,few clouds,15.0,-83.2333,Iglesia morava renovada
650,Bubaque,GW,82.27,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
652,Ibra,OM,76.96,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
654,Bonthe,SL,78.67,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
655,Dicabisagan,PH,78.06,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
657,Beira,MZ,78.89,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
658,Kirakira,SB,82.53,scattered clouds,-10.4544,161.9205,SanBiz Lodge
660,Ballina,AU,76.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
666,Maues,BR,81.57,moderate rain,-3.3836,-57.7186,Hotel Miramar
673,Poum,NC,75.29,clear sky,-20.2333,164.0167,Gîte kajeon
674,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
675,Finschhafen,PG,81.63,broken clouds,-6.6024,147.8681,Cossam Guest House
676,Masakin,TN,76.46,few clouds,35.7292,10.5808,DAR EL ANDALOUS Guest house
678,Guarapari,BR,78.69,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
679,Zhicheng,CN,76.84,light rain,30.2956,111.5047,Wangjiang Building
683,Nishihara,JP,81.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
686,La Primavera,CO,82.89,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
692,Cozumel,MX,86.11,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
694,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
695,Tutoia,BR,80.2,scattered clouds,-2.7619,-42.2744,Pousada Guará's
700,Kampot,KH,77.05,light rain,10.6167,104.1833,Two Moons Hotel
703,Pemba,MZ,76.75,scattered clouds,-12.974,40.5178,Guesthouse Samotina
